limit_pct,period,Date,equity
-0.7,TRAIN,2021-05-12,99.85385273714992
-0.7,TRAIN,2021-05-13,100.91902717914145
-0.7,TRAIN,2021-05-14,101.93805010382555
-0.7,TRAIN,2021-05-17,103.0417613835769
-0.7,TRAIN,2021-05-18,104.08877063333766
-0.7,TRAIN,2021-05-19,104.7004623053432
-0.7,TRAIN,2021-05-20,105.36327659920308
-0.7,TRAIN,2021-05-21,106.11948738583665
-0.7,TRAIN,2021-05-24,104.40365569647277
-0.7,TRAIN,2021-05-25,105.11141248160283
-0.7,TRAIN,2021-05-26,105.21088629452969
-0.7,TRAIN,2021-05-27,104.62258580430235
-0.7,TRAIN,2021-05-28,104.99618425807165
-0.7,TRAIN,2021-05-31,106.11602049795216
-0.7,TRAIN,2021-06-01,108.01811115892647
-0.7,TRAIN,2021-06-02,108.72333942104227
-0.7,TRAIN,2021-06-03,109.60672550689452
-0.7,TRAIN,2021-06-04,109.1763058628648
-0.7,TRAIN,2021-06-07,109.22241325592267
-0.7,TRAIN,2021-06-08,108.77547729554698
-0.7,TRAIN,2021-06-09,107.78082500002218
-0.7,TRAIN,2021-06-10,108.28549434646068
-0.7,TRAIN,2021-06-11,108.81648752384065
-0.7,TRAIN,2021-06-14,108.94728585270383
-0.7,TRAIN,2021-06-15,108.17680182763132
-0.7,TRAIN,2021-06-16,105.06546661098757
-0.7,TRAIN,2021-06-17,102.57050621969566
-0.7,TRAIN,2021-06-18,103.79772006985881
-0.7,TRAIN,2021-06-21,103.61019743143494
-0.7,TRAIN,2021-06-22,104.08855863905693
-0.7,TRAIN,2021-06-23,104.9892484383641
-0.7,TRAIN,2021-06-24,105.58438299386125
-0.7,TRAIN,2021-06-25,104.81818001752805
-0.7,TRAIN,2021-06-28,103.3387282545015
-0.7,TRAIN,2021-06-29,102.48476423897705
-0.7,TRAIN,2021-06-30,102.42475778008004
-0.7,TRAIN,2021-07-01,102.55239275751352
-0.7,TRAIN,2021-07-02,101.82502105146307
-0.7,TRAIN,2021-07-05,100.66225987519113
-0.7,TRAIN,2021-07-06,99.46519682604458
-0.7,TRAIN,2021-07-07,98.91473410033674
-0.7,TRAIN,2021-07-08,101.62397009730297
-0.7,TRAIN,2021-07-09,103.2741992936818
-0.7,TRAIN,2021-07-12,101.95973107211032
-0.7,TRAIN,2021-07-13,101.13153183334
-0.7,TRAIN,2021-07-14,98.70408347443038
-0.7,TRAIN,2021-07-15,96.57185622921907
-0.7,TRAIN,2021-07-16,94.90173521871084
-0.7,TRAIN,2021-07-19,95.87836949742258
-0.7,TRAIN,2021-07-20,96.41996768969462
-0.7,TRAIN,2021-07-21,95.86766889589939
-0.7,TRAIN,2021-07-22,95.86766889589939
-0.7,TRAIN,2021-07-23,95.86766889589939
-0.7,TRAIN,2021-07-26,95.5916460400893
-0.7,TRAIN,2021-07-27,94.24433032258989
-0.7,TRAIN,2021-07-28,94.46566896868318
-0.7,TRAIN,2021-07-29,94.5984780751505
-0.7,TRAIN,2021-07-30,92.74377042282332
-0.7,TRAIN,2021-08-02,91.63341483109619
-0.7,TRAIN,2021-08-03,90.62296618503888
-0.7,TRAIN,2021-08-04,91.27471821897456
-0.7,TRAIN,2021-08-05,91.90707808245627
-0.7,TRAIN,2021-08-06,92.70790035575939
-0.7,TRAIN,2021-08-09,92.70790035575939
-0.7,TRAIN,2021-08-10,93.26610902030544
-0.7,TRAIN,2021-08-11,91.75084732398122
-0.7,TRAIN,2021-08-12,89.90860460228856
-0.7,TRAIN,2021-08-13,88.4825968532999
-0.7,TRAIN,2021-08-16,87.07666577937877
-0.7,TRAIN,2021-08-17,86.49479072464567
-0.7,TRAIN,2021-08-18,86.74854568204438
-0.7,TRAIN,2021-08-19,88.14171163534532
-0.7,TRAIN,2021-08-20,89.73002255495092
-0.7,TRAIN,2021-08-23,90.47183379759208
-0.7,TRAIN,2021-08-24,90.7053209043968
-0.7,TRAIN,2021-08-25,92.13819453722444
-0.7,TRAIN,2021-08-26,94.079575774932
-0.7,TRAIN,2021-08-27,95.98878582241039
-0.7,TRAIN,2021-08-30,96.87984750237852
-0.7,TRAIN,2021-08-31,98.06678915630744
-0.7,TRAIN,2021-09-01,99.58732815922437
-0.7,TRAIN,2021-09-02,101.84911412641691
-0.7,TRAIN,2021-09-03,103.60307572680748
-0.7,TRAIN,2021-09-06,103.97654579760203
-0.7,TRAIN,2021-09-07,105.63896598261007
-0.7,TRAIN,2021-09-08,107.71965845369107
-0.7,TRAIN,2021-09-09,110.26404872030344
-0.7,TRAIN,2021-09-10,111.07620434514536
-0.7,TRAIN,2021-09-13,110.09738466994537
-0.7,TRAIN,2021-09-14,109.97290588224465
-0.7,TRAIN,2021-09-15,107.95623905789343
-0.7,TRAIN,2021-09-16,106.03407422652393
-0.7,TRAIN,2021-09-17,107.31417830742144
-0.7,TRAIN,2021-09-20,107.31417830742144
-0.7,TRAIN,2021-09-21,109.53320672883271
-0.7,TRAIN,2021-09-22,110.24514819558333
-0.7,TRAIN,2021-09-23,110.24514819558333
-0.7,TRAIN,2021-09-24,107.30109226686
-0.7,TRAIN,2021-09-27,106.66845558627458
-0.7,TRAIN,2021-09-28,104.73715881716099
-0.7,TRAIN,2021-09-29,102.65586262295537
-0.7,TRAIN,2021-09-30,100.22655230992939
-0.7,TRAIN,2021-10-01,97.90658365125053
-0.7,TRAIN,2021-10-04,96.96394447477881
-0.7,TRAIN,2021-10-05,96.81175965730453
-0.7,TRAIN,2021-10-06,97.97999293153953
-0.7,TRAIN,2021-10-07,97.50773991683533
-0.7,TRAIN,2021-10-08,97.06804476046511
-0.7,TRAIN,2021-10-11,96.01121709736265
-0.7,TRAIN,2021-10-12,97.88092346518069
-0.7,TRAIN,2021-10-13,100.28212392484248
-0.7,TRAIN,2021-10-14,101.14251459809194
-0.7,TRAIN,2021-10-15,101.54555236364517
-0.7,TRAIN,2021-10-18,99.97541220423982
-0.7,TRAIN,2021-10-19,97.73342355678935
-0.7,TRAIN,2021-10-20,96.34047562700005
-0.7,TRAIN,2021-10-21,97.06814999323589
-0.7,TRAIN,2021-10-22,96.82638417232246
-0.7,TRAIN,2021-10-25,96.5572896342971
-0.7,TRAIN,2021-10-26,95.89889323384037
-0.7,TRAIN,2021-10-27,96.87053273152075
-0.7,TRAIN,2021-10-28,97.3320399189063
-0.7,TRAIN,2021-10-29,97.94394740823208
-0.7,TRAIN,2021-11-01,97.57320061481761
-0.7,TRAIN,2021-11-02,96.83322850636222
-0.7,TRAIN,2021-11-03,96.83322850636222
-0.7,TRAIN,2021-11-04,95.12061518026239
-0.7,TRAIN,2021-11-05,94.0335730486384
-0.7,TRAIN,2021-11-08,92.49368401771746
-0.7,TRAIN,2021-11-09,92.29959163783903
-0.7,TRAIN,2021-11-10,92.87703579483498
-0.7,TRAIN,2021-11-11,93.85128847791702
-0.7,TRAIN,2021-11-12,93.55089251707969
-0.7,TRAIN,2021-11-15,93.16396607246467
-0.7,TRAIN,2021-11-16,92.22990634052391
-0.7,TRAIN,2021-11-17,92.48092812378813
-0.7,TRAIN,2021-11-18,91.58775952146624
-0.7,TRAIN,2021-11-19,90.86133868207642
-0.7,TRAIN,2021-11-22,88.12781430689975
-0.7,TRAIN,2021-11-23,88.12781430689975
-0.7,TRAIN,2021-11-24,85.64449872292653
-0.7,TRAIN,2021-11-25,82.25049195880514
-0.7,TRAIN,2021-11-26,80.73394282349003
-0.7,TRAIN,2021-11-29,79.84223008749397
-0.7,TRAIN,2021-11-30,81.2398046868569
-0.7,TRAIN,2021-12-01,82.86238912630036
-0.7,TRAIN,2021-12-02,85.76107448089995
-0.7,TRAIN,2021-12-03,87.95930187411763
-0.7,TRAIN,2021-12-06,89.53669736127144
-0.7,TRAIN,2021-12-07,88.74609908243474
-0.7,TRAIN,2021-12-08,87.6615177764112
-0.7,TRAIN,2021-12-09,85.65966935937773
-0.7,TRAIN,2021-12-10,84.78589402922053
-0.7,TRAIN,2021-12-13,85.0320675529042
-0.7,TRAIN,2021-12-14,84.82219991374275
-0.7,TRAIN,2021-12-15,82.45181671523068
-0.7,TRAIN,2021-12-16,80.83217015837107
-0.7,TRAIN,2021-12-17,80.00799299455089
-0.7,TRAIN,2021-12-20,80.52718046270138
-0.7,TRAIN,2021-12-21,80.89995439966701
