n,W平均,中央値,勝率,stdev,rule,exit,period,per_day
1032365,-0.154,-0.2,41.3,5.29,R0: 全 (ベースライン),E1: T+1寄付,TRAIN,957.67
1032365,-0.173,-0.2,45.0,5.64,R0: 全 (ベースライン),E2: T+1終値,TRAIN,957.67
1032365,-0.172,-0.352,44.6,5.66,R0: 全 (ベースライン),E3: TP+3.0/SL-2.0/期日T+2,TRAIN,957.67
20492,0.182,0.045,50.7,32.78,R1: oversold (gap≤-2 & MA25≤-5),E1: T+1寄付,TRAIN,19.01
20492,0.122,0.071,50.7,33.07,R1: oversold (gap≤-2 & MA25≤-5),E2: T+1終値,TRAIN,19.01
20492,0.116,-0.543,47.8,33.09,R1: oversold (gap≤-2 & MA25≤-5),E3: TP+3.0/SL-2.0/期日T+2,TRAIN,19.01
2662,0.926,0.82,57.1,10.8,R2: deep oversold (gap≤-3 & MA25≤-8 & dayret≤-3),E1: T+1寄付,TRAIN,2.47
2662,0.963,1.926,59.4,12.49,R2: deep oversold (gap≤-3 & MA25≤-8 & dayret≤-3),E2: T+1終値,TRAIN,2.47
2662,0.88,2.8,56.5,10.9,R2: deep oversold (gap≤-3 & MA25≤-8 & dayret≤-3),E3: TP+3.0/SL-2.0/期日T+2,TRAIN,2.47
102623,-0.108,-0.2,44.1,16.16,R3: 高ボラ (relative_atr top 10%),E1: T+1寄付,TRAIN,95.2
102623,-0.165,-0.29,46.3,16.58,R3: 高ボラ (relative_atr top 10%),E2: T+1終値,TRAIN,95.2
102623,-0.245,-2.2,40.9,16.41,R3: 高ボラ (relative_atr top 10%),E3: TP+3.0/SL-2.0/期日T+2,TRAIN,95.2
51567,-0.188,-0.2,41.6,7.19,R4: 反転 composite (上位5%),E1: T+1寄付,TRAIN,47.84
51567,-0.316,-0.358,42.8,7.68,R4: 反転 composite (上位5%),E2: T+1終値,TRAIN,47.84
51567,-0.379,-1.25,39.8,7.45,R4: 反転 composite (上位5%),E3: TP+3.0/SL-2.0/期日T+2,TRAIN,47.84
10314,-0.15,-0.2,42.8,10.04,R4b: 反転 composite (上位1%),E1: T+1寄付,TRAIN,9.57
10314,-0.384,-0.507,42.8,10.65,R4b: 反転 composite (上位1%),E2: T+1終値,TRAIN,9.57
10314,-0.455,-2.2,37.4,10.19,R4b: 反転 composite (上位1%),E3: TP+3.0/SL-2.0/期日T+2,TRAIN,9.57
6134,-0.124,-0.2,44.0,2.49,R5: Stage1強+gap- (s1>=80 & gap≤-1),E1: T+1寄付,TRAIN,5.69
6134,-0.244,-0.345,44.2,4.05,R5: Stage1強+gap- (s1>=80 & gap≤-1),E2: T+1終値,TRAIN,5.69
6134,-0.284,-1.261,41.0,3.19,R5: Stage1強+gap- (s1>=80 & gap≤-1),E3: TP+3.0/SL-2.0/期日T+2,TRAIN,5.69
188822,-0.155,-0.2,41.4,3.39,R6: 現行 Stage1 (s1>=60),E1: T+1寄付,TRAIN,175.16
188822,-0.209,-0.2,44.2,4.03,R6: 現行 Stage1 (s1>=60),E2: T+1終値,TRAIN,175.16
188822,-0.221,-0.473,43.4,3.9,R6: 現行 Stage1 (s1>=60),E3: TP+3.0/SL-2.0/期日T+2,TRAIN,175.16
65845,-0.026,-0.2,44.6,4.37,R7: 上ヒゲ+高ボラ,E1: T+1寄付,TRAIN,61.08
65845,-0.105,-0.2,46.8,5.67,R7: 上ヒゲ+高ボラ,E2: T+1終値,TRAIN,61.08
65845,-0.177,-2.2,41.6,4.86,R7: 上ヒゲ+高ボラ,E3: TP+3.0/SL-2.0/期日T+2,TRAIN,61.08
3916,0.089,-0.049,48.6,51.71,R8: 反転 + 上ヒゲ無,E1: T+1寄付,TRAIN,3.63
3916,-0.017,-0.032,49.5,52.01,R8: 反転 + 上ヒゲ無,E2: T+1終値,TRAIN,3.63
3916,-0.016,-0.786,46.0,52.37,R8: 反転 + 上ヒゲ無,E3: TP+3.0/SL-2.0/期日T+2,TRAIN,3.63
155272,-0.066,-0.132,44.4,4.92,R0: 全 (ベースライン),E1: T+1寄付,VAL,1109.09
155272,-0.108,-0.101,47.5,5.37,R0: 全 (ベースライン),E2: T+1終値,VAL,1109.09
155272,-0.053,-0.2,47.1,5.31,R0: 全 (ベースライン),E3: TP+3.0/SL-2.0/期日T+2,VAL,1109.09
4348,0.767,0.75,59.3,24.05,R1: oversold (gap≤-2 & MA25≤-5),E1: T+1寄付,VAL,31.06
4348,0.718,0.963,59.9,24.16,R1: oversold (gap≤-2 & MA25≤-5),E2: T+1終値,VAL,31.06
4348,1.14,2.8,64.0,24.03,R1: oversold (gap≤-2 & MA25≤-5),E3: TP+3.0/SL-2.0/期日T+2,VAL,31.06
