n,W平均,中央値,勝率,stdev,rule,period,per_day
20492,0.182,0.045,50.7,32.78,D_R1_all,TRAIN,
4367,0.761,0.74,59.1,24.09,D_R1_all,VAL,
102944,-0.128,-0.2,43.2,16.03,E1: overnight_bias_5 top10% (継続),TRAIN,95.5
14549,-0.19,-0.2,42.8,3.66,E2: hammer (下ヒゲ長 + 引け強),TRAIN,13.5
15775,-0.269,-0.2,40.0,2.39,E3: inside-bar (range<昨日 & 陽線),TRAIN,14.63
23788,-0.157,-0.2,40.9,8.38,E4: 3日連騰+出来高増,TRAIN,22.07
51974,-0.074,-0.2,42.5,5.92,E5: 52週安値接触,TRAIN,48.21
1579,-0.133,-0.2,43.3,2.74,E6: Stage1強+当日急落 (s1≥80 & dayret≤-3),TRAIN,1.46
14489,0.223,-0.057,48.7,38.78,E7: 高ボラ+ギャップダウン (atr top10% & gap≤-2),TRAIN,13.44
7416,-0.163,-0.2,38.7,9.84,E8: 引け強(close_in_range top10%) + 出来高2x,TRAIN,6.88
2662,-0.125,-0.2,44.9,6.09,E9: 下ヒゲハンマー + ギャップダウン,TRAIN,2.47
14780,-0.11,-0.2,43.6,5.23,E10: 反転前兆: 連騰0 & dayret<-3 & 下ヒゲ長,TRAIN,13.71
15646,0.092,-0.05,48.2,14.39,E1: overnight_bias_5 top10% (継続),VAL,110.96
2799,-0.029,-0.041,48.9,3.77,E2: hammer (下ヒゲ長 + 引け強),VAL,19.85
2814,-0.196,-0.2,41.9,2.64,E3: inside-bar (range<昨日 & 陽線),VAL,19.96
3083,-0.133,-0.2,42.6,9.87,E4: 3日連騰+出来高増,VAL,21.87
3845,-0.036,-0.136,43.7,3.62,E5: 52週安値接触,VAL,27.27
247,-0.074,-0.13,43.7,3.62,E6: Stage1強+当日急落 (s1≥80 & dayret≤-3),VAL,1.75
3399,0.713,0.924,57.8,27.29,E7: 高ボラ+ギャップダウン (atr top10% & gap≤-2),VAL,24.11
1151,0.017,-0.2,40.5,11.09,E8: 引け強(close_in_range top10%) + 出来高2x,VAL,8.16
735,0.468,0.917,61.6,5.73,E9: 下ヒゲハンマー + ギャップダウン,VAL,5.21
2896,0.34,0.029,50.4,3.67,E10: 反転前兆: 連騰0 & dayret<-3 & 下ヒゲ長,VAL,20.54
20492,0.182,0.045,50.7,32.78,R1 (gap≤-2 & MA25≤-5) × 全件,TRAIN,
16479,0.196,0.045,50.8,36.2,R1 (gap≤-2 & MA25≤-5) × 売買代金≥3億,TRAIN,
