n,W平均,中央値,勝率,stdev,period,sl,tp,hold
1377,-0.175,-0.2,46.1,13.41,TRAIN,-,-,T+1寄付
1377,-0.238,-2.2,45.0,13.46,TRAIN,-2,3,T+1〜T+1
1377,-0.103,-2.2,44.2,13.51,TRAIN,-2,5,T+1〜T+1
1377,-0.156,-2.2,44.1,13.6,TRAIN,-2,7,T+1〜T+1
1377,-0.19,-2.2,43.9,13.76,TRAIN,-2,10,T+1〜T+1
1377,-0.247,-0.785,47.5,13.48,TRAIN,-3,3,T+1〜T+1
1377,-0.13,-0.916,46.2,13.54,TRAIN,-3,5,T+1〜T+1
1377,-0.193,-0.97,46.0,13.62,TRAIN,-3,7,T+1〜T+1
1377,-0.23,-0.981,45.9,13.78,TRAIN,-3,10,T+1〜T+1
1377,-0.225,-0.106,49.6,13.53,TRAIN,-5,3,T+1〜T+1
1377,-0.141,-0.427,47.6,13.58,TRAIN,-5,5,T+1〜T+1
1377,-0.213,-0.502,47.3,13.67,TRAIN,-5,7,T+1〜T+1
1377,-0.262,-0.529,47.1,13.83,TRAIN,-5,10,T+1〜T+1
1377,-0.122,0.037,50.3,13.58,TRAIN,-7,3,T+1〜T+1
1377,-0.04,-0.358,48.1,13.64,TRAIN,-7,5,T+1〜T+1
1377,-0.119,-0.386,47.8,13.73,TRAIN,-7,7,T+1〜T+1
1377,-0.167,-0.417,47.6,13.88,TRAIN,-7,10,T+1〜T+1
1377,-0.231,-2.2,44.7,13.47,TRAIN,-2,3,T+1〜T+3
1377,-0.082,-2.2,41.9,13.55,TRAIN,-2,5,T+1〜T+3
1377,-0.228,-2.2,40.2,13.67,TRAIN,-2,7,T+1〜T+3
1377,-0.349,-2.2,39.1,13.93,TRAIN,-2,10,T+1〜T+3
1377,-0.276,-3.2,47.9,13.51,TRAIN,-3,3,T+1〜T+3
1377,-0.161,-3.2,44.5,13.6,TRAIN,-3,5,T+1〜T+3
1377,-0.332,-3.2,42.7,13.73,TRAIN,-3,7,T+1〜T+3
1377,-0.461,-3.2,41.7,13.99,TRAIN,-3,10,T+1〜T+3
1377,-0.213,2.8,53.5,13.6,TRAIN,-5,3,T+1〜T+3
1377,-0.13,-0.315,49.2,13.71,TRAIN,-5,5,T+1〜T+3
1377,-0.312,-1.159,47.5,13.86,TRAIN,-5,7,T+1〜T+3
1377,-0.477,-1.543,46.2,14.12,TRAIN,-5,10,T+1〜T+3
1377,-0.017,2.8,55.4,13.7,TRAIN,-7,3,T+1〜T+3
1377,0.094,0.341,51.1,13.83,TRAIN,-7,5,T+1〜T+3
1377,-0.089,-0.315,49.2,13.98,TRAIN,-7,7,T+1〜T+3
1377,-0.247,-0.713,47.9,14.25,TRAIN,-7,10,T+1〜T+3
215,1.231,1.232,61.4,6.09,VAL,-,-,T+1寄付
215,1.127,2.8,60.5,6.23,VAL,-2,3,T+1〜T+1
215,0.97,1.266,56.7,6.3,VAL,-2,5,T+1〜T+1
215,0.718,0.717,56.3,6.38,VAL,-2,7,T+1〜T+1
215,0.608,0.663,55.8,6.34,VAL,-2,10,T+1〜T+1
215,0.99,2.8,60.9,6.33,VAL,-3,3,T+1〜T+1
215,0.821,1.266,57.7,6.41,VAL,-3,5,T+1〜T+1
215,0.57,0.717,57.2,6.48,VAL,-3,7,T+1〜T+1
215,0.455,0.663,56.7,6.44,VAL,-3,10,T+1〜T+1
215,0.869,2.8,61.9,6.52,VAL,-5,3,T+1〜T+1
215,0.735,1.548,58.6,6.58,VAL,-5,5,T+1〜T+1
215,0.474,0.924,58.1,6.65,VAL,-5,7,T+1〜T+1
215,0.37,0.766,57.7,6.6,VAL,-5,10,T+1〜T+1
215,0.948,2.8,61.9,6.68,VAL,-7,3,T+1〜T+1
215,0.813,1.548,58.6,6.74,VAL,-7,5,T+1〜T+1
215,0.552,0.924,58.1,6.8,VAL,-7,7,T+1〜T+1
215,0.448,0.766,57.7,6.76,VAL,-7,10,T+1〜T+1
215,1.251,2.8,62.3,6.23,VAL,-2,3,T+1〜T+3
215,1.174,3.386,53.5,6.46,VAL,-2,5,T+1〜T+3
215,0.624,-2.2,46.5,6.81,VAL,-2,7,T+1〜T+3
215,-0.046,-2.2,39.1,7.01,VAL,-2,10,T+1〜T+3
215,1.151,2.8,63.7,6.34,VAL,-3,3,T+1〜T+3
215,1.048,4.8,55.3,6.6,VAL,-3,5,T+1〜T+3
215,0.449,-0.396,48.8,6.96,VAL,-3,7,T+1〜T+3
215,-0.213,-3.2,42.3,7.16,VAL,-3,10,T+1〜T+3
215,1.043,2.8,67.4,6.6,VAL,-5,3,T+1〜T+3
215,1.093,4.8,60.9,6.88,VAL,-5,5,T+1〜T+3
215,0.446,1.153,54.4,7.29,VAL,-5,7,T+1〜T+3
215,-0.214,-0.2,47.9,7.48,VAL,-5,10,T+1〜T+3
215,1.345,2.8,70.2,6.85,VAL,-7,3,T+1〜T+3
215,1.472,4.8,63.7,7.12,VAL,-7,5,T+1〜T+3
215,0.868,1.841,56.7,7.5,VAL,-7,7,T+1〜T+3
215,0.216,0.008,50.2,7.72,VAL,-7,10,T+1〜T+3
