切り口,n,EV(%),中央値,勝率(%),gap-up率(%),stdev,p10,p90,period,section
出口: T+1寄付 (overnight only),319003,-0.187,-0.2,40.0,40.0,3.34,-1.49,1.13,train,A_出口別
出口: T+1終値 (1日保有),319003,-0.242,-0.2,43.3,43.3,4.007,-2.69,2.24,train,A_出口別
出口: T+1中TP/SL→終値,319003,-0.24,-0.2,43.2,43.2,3.822,-2.79,2.27,train,A_出口別
下位50% (score>60),171273,-0.208,-0.2,39.6,39.6,3.685,-1.37,1.02,train,B_score分位
中位50-75% (score>80),78471,-0.179,-0.2,40.2,40.2,2.522,-1.44,1.08,train,B_score分位
上位25% (score>100),53929,-0.182,-0.2,40.2,40.2,3.399,-1.79,1.44,train,B_score分位
上位10% (score>120),15330,-0.012,-0.2,42.2,42.2,2.67,-2.03,1.81,train,B_score分位
月終→火寄,61040,-0.071,-0.149,42.7,42.7,4.624,-1.18,1.08,train,C_曜日別
火終→水寄,66687,-0.208,-0.2,39.0,39.0,2.958,-1.48,1.09,train,C_曜日別
水終→木寄,63784,-0.269,-0.2,34.8,34.8,2.869,-1.54,1.01,train,C_曜日別
木終→金寄,62432,-0.252,-0.2,38.1,38.1,2.786,-1.62,1.12,train,C_曜日別
金終→月寄,65060,-0.132,-0.108,45.4,45.4,3.182,-1.6,1.34,train,C_曜日別
出口: T+1寄付 (overnight only),40219,-0.129,-0.2,41.2,41.2,3.296,-1.68,1.36,val,A_出口別
出口: T+1終値 (1日保有),40219,-0.255,-0.25,43.5,43.5,4.303,-3.34,2.65,val,A_出口別
出口: T+1中TP/SL→終値,40219,-0.26,-0.256,43.5,43.5,3.918,-3.65,2.73,val,A_出口別
下位50% (score>60),24238,-0.135,-0.2,41.3,41.3,2.988,-1.5,1.24,val,B_score分位
中位50-75% (score>80),9050,-0.192,-0.2,39.8,39.8,3.242,-1.68,1.32,val,B_score分位
上位25% (score>100),5965,-0.038,-0.2,42.8,42.8,4.35,-2.21,2.01,val,B_score分位
上位10% (score>120),966,0.08,-0.2,43.2,43.2,3.595,-2.2,2.15,val,B_score分位
月終→火寄,7549,-0.042,-0.162,41.8,41.8,3.364,-1.23,1.26,val,C_曜日別
火終→水寄,7913,0.002,-0.092,45.5,45.5,3.306,-1.48,1.54,val,C_曜日別
水終→木寄,8529,-0.053,-0.149,43.0,43.0,2.893,-1.43,1.28,val,C_曜日別
木終→金寄,8454,-0.34,-0.2,33.0,33.0,3.353,-1.74,0.92,val,C_曜日別
金終→月寄,7774,-0.199,-0.2,43.4,43.4,3.55,-2.61,1.85,val,C_曜日別
