filter,tp_pct,sl_pct,max_days,train_n,train_ev,train_tp_rate,train_sl_rate,train_sharpe,n,tp_rate,sl_rate,win_rate,ev,std,sharpe,total_ev,val_n,val_ev,val_tp_rate,val_sl_rate,generalize
⑱ RSI5<20 + 出来高1.5倍,10.0,-5.0,5,1737,0.5927,8.64,22.34,0.1315,1737,8.64,22.34,52.56,0.5927,4.5065,0.1315,1029.6,222,0.8566,7.66,18.47,True
⑱ RSI5<20 + 出来高1.5倍,10.0,-3.0,5,1737,0.4563,7.02,39.95,0.1162,1737,7.02,39.95,46.0,0.4563,3.9279,0.1162,792.5,222,0.6868,6.31,34.23,True
⑱ RSI5<20 + 出来高1.5倍,7.0,-5.0,5,1737,0.4456,15.43,21.82,0.1099,1737,15.43,21.82,53.31,0.4456,4.0551,0.1099,773.9,222,0.9337,15.77,18.02,True
㉝ 水・木 + RSI5<20,10.0,-3.0,5,4841,0.4324,5.72,35.45,0.1176,4841,5.72,35.45,47.32,0.4324,3.6758,0.1176,2093.1,669,0.8082,5.83,32.44,True
㉞ RSI5<10 + 水・木,10.0,-1.5,5,778,0.421,6.04,58.74,0.1309,778,6.04,58.74,34.58,0.421,3.2175,0.1309,327.6,95,0.5794,3.16,51.58,True
㉝ 水・木 + RSI5<20,10.0,-5.0,5,4841,0.4004,6.34,19.67,0.0968,4841,6.34,19.67,51.85,0.4004,4.1369,0.0968,1938.1,669,0.8664,7.17,17.64,True
㉞ RSI5<10 + 水・木,10.0,-2.0,5,778,0.3993,6.56,50.39,0.1154,778,6.56,50.39,39.07,0.3993,3.4595,0.1154,310.7,95,0.6803,3.16,42.11,True
㉝ 水・木 + RSI5<20,10.0,-2.0,5,4841,0.3971,4.9,49.66,0.1206,4841,4.9,49.66,41.05,0.3971,3.292,0.1206,1922.2,669,0.7899,5.23,43.8,True
⑱ RSI5<20 + 出来高1.5倍,10.0,-2.0,5,1737,0.3956,6.16,53.37,0.113,1737,6.16,53.37,38.51,0.3956,3.5004,0.113,687.1,222,0.6688,5.41,46.85,True
㉞ RSI5<10 + 水・木,10.0,-3.0,5,778,0.3891,7.33,37.15,0.1014,778,7.33,37.15,44.86,0.3891,3.8365,0.1014,302.7,95,0.6299,4.21,32.63,True
㉞ RSI5<10 + 水・木,10.0,-3.0,3,778,0.3596,3.98,28.02,0.1121,778,3.98,28.02,50.26,0.3596,3.2074,0.1121,279.8,98,0.3972,2.04,29.59,True
㉝ 水・木 + RSI5<20,7.0,-3.0,5,4841,0.3493,11.51,35.28,0.1036,4841,11.51,35.28,47.61,0.3493,3.3716,0.1036,1691.1,669,0.8194,12.26,31.69,True
㉞ RSI5<10 + 水・木,10.0,-2.0,3,778,0.3415,3.6,41.13,0.1175,778,3.6,41.13,45.12,0.3415,2.9069,0.1175,265.7,98,0.4201,2.04,38.78,True
⑱ RSI5<20 + 出来高1.5倍,7.0,-3.0,5,1737,0.3389,13.01,39.44,0.0963,1737,13.01,39.44,46.69,0.3389,3.518,0.0963,588.7,222,0.7955,14.41,33.78,True
㉞ RSI5<10 + 水・木,10.0,-1.5,3,778,0.3381,3.21,50.39,0.1255,778,3.21,50.39,40.36,0.3381,2.6932,0.1255,263.0,98,0.3841,2.04,46.94,True
⑱ RSI5<20 + 出来高1.5倍,5.0,-5.0,5,1737,0.336,25.04,21.13,0.0912,1737,25.04,21.13,54.46,0.336,3.6831,0.0912,583.6,222,0.8087,26.58,17.57,True
㉞ RSI5<10 + 水・木,10.0,-1.0,5,778,0.3317,5.01,70.31,0.1175,778,5.01,70.31,25.96,0.3317,2.8234,0.1175,258.0,95,0.5315,3.16,63.16,True
㉞ RSI5<10 + 水・木,5.0,-3.0,3,778,0.3305,14.4,26.74,0.1198,778,14.4,26.74,52.06,0.3305,2.76,0.1198,257.1,98,0.5811,15.31,26.53,True
㉝ 水・木 + RSI5<20,10.0,-1.5,5,4841,0.3304,4.11,59.76,0.1105,4841,4.11,59.76,34.95,0.3304,2.989,0.1105,1599.4,669,0.6386,4.04,53.51,True
⑱ RSI5<20 + 出来高1.5倍,10.0,-1.5,5,1737,0.3198,5.53,62.87,0.1001,1737,5.53,62.87,31.89,0.3198,3.1943,0.1001,555.5,222,0.4497,4.05,59.91,True
