filter,tp_pct,sl_pct,max_days,train_n,train_ev,train_tp_rate,train_sl_rate,train_sharpe,n,tp_rate,sl_rate,win_rate,ev,std,sharpe,total_ev,val_n,val_ev,val_tp_rate,val_sl_rate,generalize
㊴ 月末除外(最終2営業日を除く),10.0,-5.0,5,940499,0.1667,5.42,18.27,0.0422,940499,5.42,18.27,48.28,0.1667,3.954,0.0422,156760.8,123731,0.2226,7.6,22.36,True
① 全シグナル（ベースライン）,10.0,-5.0,5,1050137,0.1408,5.39,18.6,0.0355,1050137,5.39,18.6,47.92,0.1408,3.9629,0.0355,147911.4,136883,0.2104,7.58,22.88,True
㊴ 月末除外(最終2営業日を除く),10.0,-3.0,5,940499,0.157,4.7,37.26,0.0447,940499,4.7,37.26,43.88,0.157,3.5126,0.0447,147632.1,123731,0.1837,6.44,42.06,True
① 全シグナル（ベースライン）,10.0,-3.0,5,1050137,0.1397,4.67,37.66,0.0397,1050137,4.67,37.66,43.55,0.1397,3.5147,0.0397,146689.1,136883,0.1861,6.45,42.32,True
㉒ 月曜エントリー除外,10.0,-5.0,5,855864,0.1712,5.44,18.41,0.0431,855864,5.44,18.41,48.33,0.1712,3.9682,0.0431,146507.3,111953,0.2439,7.62,22.5,True
㉒ 月曜エントリー除外,10.0,-3.0,5,855864,0.1706,4.72,37.26,0.0484,855864,4.72,37.26,44.01,0.1706,3.5236,0.0484,145989.4,111953,0.1986,6.47,42.07,True
⑧ DVS > 0（買い越し）,10.0,-5.0,5,960484,0.1368,5.38,18.62,0.0345,960484,5.38,18.62,47.88,0.1368,3.9629,0.0345,131384.8,126293,0.2211,7.62,22.74,True
⑧ DVS > 0（買い越し）,10.0,-3.0,5,960484,0.1364,4.66,37.72,0.0388,960484,4.66,37.72,43.52,0.1364,3.5143,0.0388,130965.0,126293,0.1934,6.48,42.25,True
㉒ 月曜エントリー除外,10.0,-2.0,5,855864,0.1508,3.96,52.96,0.0484,855864,3.96,52.96,37.5,0.1508,3.1161,0.0484,129026.9,111953,0.1719,5.3,56.6,True
① 全シグナル（ベースライン）,10.0,-2.0,5,1050137,0.1228,3.9,53.44,0.0396,1050137,3.9,53.44,37.03,0.1228,3.1031,0.0396,128938.2,136883,0.1729,5.33,56.76,True
㊴ 月末除外(最終2営業日を除く),10.0,-2.0,5,940499,0.1358,3.94,53.06,0.0437,940499,3.94,53.06,37.35,0.1358,3.1048,0.0437,127736.3,123731,0.1683,5.32,56.56,True
㊴ 月末除外(最終2営業日を除く),7.0,-5.0,5,940499,0.1268,10.91,18.02,0.0343,940499,10.91,18.02,48.84,0.1268,3.7008,0.0343,119291.1,123731,0.1578,14.07,21.93,True
⑧ DVS > 0（買い越し）,10.0,-2.0,5,960484,0.1204,3.9,53.54,0.0388,960484,3.9,53.54,37.0,0.1204,3.103,0.0388,115664.5,126293,0.1781,5.36,56.75,True
㉒ 月曜エントリー除外,7.0,-3.0,5,855864,0.1347,9.78,36.92,0.041,855864,9.78,36.92,44.52,0.1347,3.2829,0.041,115289.3,111953,0.146,12.38,41.48,True
⑨ DVS > 10,10.0,-3.0,5,873764,0.1315,4.66,37.81,0.0374,873764,4.66,37.81,43.46,0.1315,3.5141,0.0374,114886.3,115455,0.2038,6.58,42.12,True
⑨ DVS > 10,10.0,-5.0,5,873764,0.1315,5.38,18.65,0.0332,873764,5.38,18.65,47.82,0.1315,3.9639,0.0332,114868.4,115455,0.2352,7.73,22.61,True
① 全シグナル（ベースライン）,10.0,-1.5,5,1050137,0.109,3.34,63.27,0.0389,1050137,3.34,63.27,31.37,0.109,2.8058,0.0389,114474.7,136883,0.1574,4.5,65.54,True
㉒ 月曜エントリー除外,10.0,-1.5,5,855864,0.1334,3.39,62.79,0.0473,855864,3.39,62.79,31.83,0.1334,2.8202,0.0473,114136.3,111953,0.1521,4.47,65.48,True
㊴ 月末除外(最終2営業日を除く),7.0,-3.0,5,940499,0.1213,9.67,36.92,0.0371,940499,9.67,36.92,44.39,0.1213,3.2715,0.0371,114094.6,123731,0.1273,12.22,41.51,True
㉒ 月曜エントリー除外,7.0,-5.0,5,855864,0.1312,11.01,18.17,0.0353,855864,11.01,18.17,48.89,0.1312,3.7158,0.0353,112265.9,111953,0.1826,14.24,22.02,True
